2010/05/2003,9.49,1.67,22.3,0.32,20.2,33.575,4.52
2006/02/2009,14.36,0.75,5.8,0.02,3.3,33.725,4.92
2003/04/2016,17.8,0.49,1,0,0,33.46,5.92
2001/10/2028,10.82,1.94,18.4,0.26,16.8,33.71,4.13
2000/10/2027,8.19,1.87,63,0,27.9,33.99,3.45
2000/04/2021,14.24,0.56,16,0,1.3,33.6,5.97
2000/01/2022,11.34,0.88,16,0.06,9,33.59,5.1
2000/01/2014,15.43,0.3,4.4,0.02,0.2,33.619,5.67
2000/01/2010,17.91,0.19,3,0,0,33.621,5.66
2000/01/2008,11.21,2.91,73.3,0,28.3,34.022,0.28
2000/01/2007,11,2.23,53,0,25.3,33.895,2.11
2000/01/2009,17.95,0.19,3,0,0,33.622,5.64
2000/01/2012,17.18,0.16,3,0,0,33.612,5.89
2000/01/2011,17.55,0.18,3,0,0,33.616,5.83
2000/01/2013,16.57,0.24,4,0,0,33.61,5.89
2000/01/2018,11.61,1.69,37.4,0,20.3,33.888,2.93
2000/01/2016,13.78,0.54,10.5,0.02,3.7,33.685,4.94
2000/01/2015,14.77,0.4,6,0.05,0.7,33.627,5.43
2000/01/2017,12.23,1.18,22.6,0,12,33.788,3.93
2000/01/2020,17.05,0.29,4,0,0.1,33.63,5.77
2000/01/2019,17.73,0.29,5,0,0.1,33.63,5.74
2000/01/2021,13.38,0.4,7,0.05,1.8,33.57,5.89
2000/04/2013,8.53,2.24,74,0,31,34.13,1.83
2000/04/2009,16.54,0.29,3,0,0.3,33.53,6.19
2000/04/2007,8.71,2.16,73,0,30.5,34.14,2.53
2000/01/2023,9.1,2.06,58,0,27.6,34,2.71
2000/04/2008,16.54,0.29,3,0,0.3,33.53,5.81
2000/04/2011,11.5,0.96,18,0.13,10.1,33.44,3.82
2000/04/2010,13.87,0.61,4,0,0.4,33.41,4.89
2000/04/2012,8.86,1.76,53,0,26.4,33.92,2.32
2000/04/2017,11.52,1.47,24,0.44,13.1,33.56,4.69
2000/04/2015,16.21,0.43,6,0,0.3,33.67,6.02
2000/04/2014,16.21,0.32,6,0,0.3,33.67,5.97
2000/04/2016,13.62,0.45,12,0.11,4,33.54,6.02
2000/04/2019,8.34,2.56,86,0,32.4,34.14,1.81
2000/04/2018,8.71,2.32,71,0,30,34.07,2.53
2000/04/2020,15.46,0.51,16,0,0.6,33.6,6.02
2000/07/2012,8.57,2.11,78,0.06,26.6,34.13,2.25
2000/07/2005,11.25,0.64,14,0,7,33.54,5.52
2000/07/2001,8.87,2.46,85,0,30.5,34.23,1.72
2000/06/2029,9.88,1.92,52,0,24.7,33.94,2.76
2000/04/2022,10.46,1.58,36,0.02,18.7,33.72,3.69
